major,minor,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,t41,t42,t43,t44,t45,t46,t47
s7,n5,0.2618,0.2583,0.2806,0.2762,0.2388,0.1764,0.1651,0.1715,0.1638,0.2397,0.2440,0.3572,0.4193,0.4093,0.3876,0.4301,0.4890,0.5368,0.5794,0.5646,0.5018,0.4240,0.1343,0.1237,0.0374,0.0215,0.0367,0.0267,0.0242,0.0123,0.0044,0.0006,0.0035,0.0073,0.0103,0.0110,0.0095,0.0111,0.0141,0.0065,0.0101,0.0064,0.0111,0.0104,0.0049,0.0006,0.0001,0.0000
s7,n6,0.2717,0.3074,0.3413,0.3546,0.3126,0.2787,0.1958,0.1668,0.1732,0.2633,0.2253,0.2959,0.3161,0.3767,0.3241,0.2910,0.3230,0.3759,0.4353,0.3797,0.2440,0.1870,0.1304,0.0894,0.0669,0.0613,0.0999,0.1054,0.0962,0.0663,0.0163,0.0056,0.0103,0.0198,0.0263,0.0394,0.0667,0.0960,0.1621,0.1132,0.1332,0.0634,0.0514,0.0242,0.0203,0.0118,0.0023,0.0008
s7,n7,0.2469,0.2271,0.2504,0.2552,0.2227,0.1928,0.1630,0.1352,0.1485,0.1767,0.1841,0.2632,0.2125,0.2001,0.1940,0.1820,0.1805,0.1889,0.2372,0.1962,0.1083,0.1086,0.0660,0.0432,0.0384,0.0545,0.0672,0.0401,0.0375,0.0462,0.0585,0.0211,0.0373,0.0545,0.0776,0.1514,0.1109,0.0535,0.0712,0.0980,0.1456,0.1017,0.1982,0.1509,0.0868,0.0692,0.0213,0.0167
s7,n8,0.2508,0.2438,0.2777,0.2946,0.2486,0.2033,0.1534,0.1420,0.1732,0.2110,0.2270,0.3064,0.2462,0.2367,0.2408,0.2442,0.2603,0.2696,0.3068,0.2904,0.1904,0.1304,0.1049,0.0599,0.0515,0.0728,0.0812,0.0541,0.0473,0.0300,0.0081,0.0034,0.0061,0.0062,0.0168,0.0464,0.0646,0.0213,0.0242,0.0545,0.1336,0.0986,0.1605,0.1429,0.1287,0.1213,0.0645,0.0511
s7,n9,0.2587,0.2552,0.2641,0.2397,0.1993,0.1327,0.0899,0.0995,0.1020,0.1238,0.1822,0.2706,0.2445,0.1966,0.1679,0.1836,0.2094,0.2533,0.3034,0.3887,0.3035,0.1612,0.1156,0.0551,0.0643,0.1083,0.1136,0.1340,0.1357,0.0831,0.0430,0.0043,0.0111,0.0100,0.0395,0.0503,0.0706,0.0258,0.0215,0.0308,0.1209,0.1596,0.1495,0.1531,0.0968,0.0797,0.0680,0.0430
s7,n10,0.2536,0.2438,0.2651,0.2387,0.2064,0.1662,0.1262,0.1302,0.1251,0.1696,0.2290,0.3018,0.2706,0.2903,0.2888,0.2582,0.2903,0.3064,0.4233,0.4051,0.3439,0.2485,0.1559,0.1328,0.1283,0.1213,0.1898,0.1366,0.1146,0.0645,0.0224,0.0090,0.0103,0.0273,0.0708,0.1037,0.1533,0.0713,0.1258,0.1483,0.3148,0.2270,0.2548,0.3035,0.2664,0.2307,0.2263,0.2479
s7,n11,0.2518,0.2542,0.2733,0.2599,0.2377,0.2251,0.1757,0.1742,0.1544,0.1781,0.2384,0.2739,0.2286,0.2083,0.1934,0.2000,0.2558,0.3271,0.3921,0.3686,0.3113,0.2781,0.1968,0.1384,0.0823,0.0844,0.1323,0.0995,0.1305,0.0481,0.0435,0.0178,0.0135,0.0215,0.0363,0.0447,0.0601,0.0355,0.0814,0.0713,0.2228,0.2058,0.2273,0.3014,0.1863,0.1695,0.0964,0.0753
s7,n12,0.2550,0.2779,0.2874,0.3100,0.2661,0.2364,0.1672,0.1253,0.1296,0.1525,0.1703,0.2180,0.2111,0.2568,0.2132,0.2011,0.1952,0.3098,0.3648,0.3492,0.2011,0.1520,0.1400,0.1481,0.1395,0.1048,0.0961,0.1817,0.1913,0.1677,0.1326,0.0463,0.0744,0.1294,0.2210,0.1943,0.2513,0.2349,0.2364,0.1663,0.2621,0.3092,0.4443,0.3657,0.2958,0.2308,0.1531,0.1344
s7,n13,0.2544,0.2621,0.2776,0.2624,0.2483,0.1878,0.1253,0.1300,0.1935,0.2159,0.2508,0.2938,0.2384,0.2298,0.1576,0.1917,0.1247,0.2157,0.2614,0.3036,0.2195,0.2227,0.2093,0.2061,0.3018,0.2184,0.2572,0.2599,0.2864,0.1544,0.0994,0.0420,0.0696,0.1555,0.2440,0.2571,0.3264,0.2632,0.2332,0.2248,0.3768,0.3389,0.4326,0.2766,0.2740,0.1260,0.1191,0.1582
s7,n14,0.2476,0.2470,0.2625,0.2615,0.2006,0.1496,0.0983,0.1023,0.1015,0.1271,0.1564,0.2547,0.2042,0.2248,0.2347,0.2324,0.2634,0.3078,0.3906,0.3774,0.2980,0.2005,0.1686,0.1670,0.1535,0.0813,0.1362,0.0899,0.1547,0.0941,0.0936,0.0458,0.0489,0.0775,0.1946,0.2056,0.2468,0.1264,0.1252,0.1459,0.2501,0.2274,0.3099,0.3040,0.3099,0.2391,0.2481,0.2970
